#     1:it             2:t          3:<Y1>          4:<Y2>        5:<y1y1>        6:<y1y2>        7:<y2y2>
         0               0      0.00078125          0.0075     1.22298e-34    -1.03594e-33     8.77502e-33
         1           0.025      0.00154763       0.0147984     2.58476e-07     1.23772e-07     5.67524e-05
         2            0.05       0.0023301       0.0221709     7.75461e-07     8.59527e-08     0.000156979
         3           0.075      0.00311114       0.0287912     1.52642e-06     5.48086e-07     0.000303958
         4             0.1      0.00386484       0.0356707     2.55075e-06    -1.67757e-06     0.000489388
         5           0.125      0.00465301       0.0423763     3.74705e-06    -6.14915e-07     0.000744196
         6            0.15      0.00537029       0.0487495     5.21679e-06    -1.75803e-06       0.0010034
         7           0.175      0.00611447       0.0546299     7.05725e-06    -1.99388e-06       0.0012608
         8             0.2      0.00687747        0.061264     8.48881e-06     -3.3541e-06      0.00162912
         9           0.225      0.00755637       0.0682218     1.02126e-05    -7.74551e-06       0.0021159
        10            0.25      0.00833019       0.0746561     1.28692e-05    -1.11884e-05      0.00245127
        11           0.275      0.00906186       0.0812602     1.55357e-05    -1.76818e-05      0.00281607
        12             0.3      0.00975389       0.0873491     1.80916e-05     -1.5265e-05      0.00339882
        13           0.325       0.0104159       0.0922837     1.97186e-05    -2.09748e-05      0.00379108
        14            0.35       0.0110922       0.0994071     2.24481e-05     -2.5337e-05      0.00439251
        15           0.375       0.0118232         0.10497     2.57266e-05    -3.20874e-05       0.0049988
        16             0.4       0.0126819         0.11055     3.04102e-05    -3.68481e-05      0.00554547
        17           0.425       0.0134217        0.115961     3.39822e-05    -4.83081e-05      0.00603963
        18            0.45         0.01411        0.121405     3.66023e-05    -5.36623e-05       0.0066029
        19           0.475       0.0148224         0.12715     4.00045e-05    -6.22761e-05      0.00721118
        20             0.5       0.0154012        0.132376      4.3879e-05    -7.35134e-05      0.00761041
        21           0.525       0.0160703        0.137072     4.85213e-05    -7.98717e-05      0.00803535
        22            0.55        0.016761        0.141824      5.1812e-05    -7.62346e-05      0.00864832
        23           0.575       0.0174472        0.147317      5.8788e-05    -8.36164e-05      0.00956757
        24             0.6       0.0181003        0.150314     6.62023e-05    -8.30745e-05      0.00960659
        25           0.625       0.0188314        0.153943     7.16966e-05    -9.25326e-05       0.0101246
        26            0.65       0.0193825         0.15612     7.58006e-05    -9.27618e-05       0.0104029
        27           0.675       0.0200516        0.161932     8.43922e-05    -0.000118954       0.0112221
        28             0.7       0.0206615        0.166727     8.67157e-05    -0.000135676       0.0120899
        29           0.725       0.0212306        0.170365     8.90486e-05     -0.00011545       0.0126339
        30            0.75       0.0219092        0.175665     9.46918e-05    -0.000130787       0.0132952
        31           0.775       0.0223617        0.180217     9.91119e-05    -0.000150015       0.0139913
        32             0.8       0.0230847        0.184299      0.00010591    -0.000180669       0.0144594
        33           0.825       0.0236086        0.189465     0.000109034     -0.00017852       0.0149561
        34            0.85       0.0242517        0.191912     0.000116849    -0.000195968       0.0148298
        35           0.875       0.0248746        0.193626     0.000124311    -0.000225785       0.0154397
        36             0.9       0.0255219        0.198581       0.0001295    -0.000253239       0.0155274
        37           0.925       0.0261092        0.202487     0.000135486    -0.000262075        0.016249
        38            0.95       0.0266082        0.205675     0.000145072    -0.000272191       0.0165808
        39           0.975       0.0273572         0.20859     0.000156187    -0.000297324       0.0166682
        40               1       0.0280283        0.212178     0.000168181    -0.000326056       0.0168819
        41           1.025       0.0286002         0.21653     0.000169804    -0.000310032       0.0176875
        42            1.05       0.0292268        0.220584     0.000175655    -0.000334498       0.0185268
        43           1.075       0.0296795        0.223801     0.000178789    -0.000341039       0.0191616
        44             1.1       0.0302128        0.225631     0.000188286    -0.000358016       0.0192302
        45           1.125       0.0306931        0.228306     0.000192701    -0.000360711       0.0194963
        46            1.15       0.0312009        0.232099     0.000199968    -0.000386167       0.0197253
        47           1.175       0.0317479        0.237017     0.000206879    -0.000415693       0.0203126
        48             1.2       0.0322257        0.240092     0.000211545    -0.000402464       0.0209552
        49           1.225       0.0327426        0.244022     0.000224762    -0.000418541       0.0217322
        50            1.25       0.0331166        0.247856     0.000228424    -0.000412875       0.0220714
        51           1.275       0.0337612        0.250332     0.000234033    -0.000382782        0.022265
        52             1.3       0.0343659        0.254351     0.000236062    -0.000413064       0.0225371
        53           1.325       0.0348626        0.255985     0.000242139    -0.000443403       0.0227987
        54            1.35       0.0352621        0.259351     0.000246276     -0.00042934       0.0227093
        55           1.375       0.0357314        0.260156     0.000261748    -0.000396633       0.0225705
        56             1.4         0.03619        0.262631     0.000267202    -0.000422531       0.0228492
        57           1.425       0.0367704        0.265318     0.000282891    -0.000453961       0.0233012
        58            1.45       0.0373019        0.268736     0.000290418    -0.000462261       0.0238841
        59           1.475       0.0378891        0.270684     0.000297371    -0.000450681       0.0240534
        60             1.5       0.0384516        0.271805     0.000307077    -0.000477626       0.0239259
        61           1.525       0.0388542        0.274516     0.000313919    -0.000523582       0.0243717
        62            1.55       0.0395022        0.279111     0.000320591    -0.000526617       0.0247714
        63           1.575       0.0399891        0.280746     0.000332891    -0.000532237       0.0250311
        64             1.6        0.040574         0.28127     0.000336949    -0.000521109       0.0251572
        65           1.625       0.0410134        0.284888     0.000339282     -0.00052632       0.0254479
        66            1.65       0.0415112        0.286977     0.000348138    -0.000523562       0.0261062
        67           1.675       0.0422533         0.28851     0.000362346    -0.000525296       0.0262289
        68             1.7       0.0425754        0.291203     0.000372096    -0.000541109       0.0275978
        69           1.725       0.0430622         0.29182     0.000381399    -0.000561813       0.0276052
        70            1.75       0.0435434        0.292901     0.000389691    -0.000592147       0.0274829
        71           1.775       0.0440874        0.293932     0.000392349     -0.00061614       0.0275445
        72             1.8       0.0446074        0.298158     0.000394832    -0.000609802       0.0283066
        73           1.825       0.0452296        0.299897     0.000401949    -0.000625572       0.0287153
        74            1.85       0.0458666        0.302244      0.00041014    -0.000636601       0.0296013
        75           1.875       0.0463229         0.30466     0.000417764    -0.000631137       0.0304969
        76             1.9       0.0468616        0.308148     0.000429582    -0.000621736       0.0304239
        77           1.925       0.0473272        0.310956     0.000437115    -0.000690694       0.0305859
        78            1.95       0.0478016         0.31333     0.000448618    -0.000692117       0.0314961
        79           1.975       0.0484981        0.313919      0.00046148    -0.000731731       0.0318862
        80               2       0.0491249        0.316015     0.000473267    -0.000779921       0.0321336
        81           2.025       0.0495643        0.316439     0.000479861    -0.000773156       0.0323367
        82            2.05       0.0501247         0.31889     0.000494237    -0.000800418       0.0318931
        83           2.075       0.0506471         0.31969     0.000508167    -0.000809741       0.0325591
        84             2.1       0.0511959        0.320521     0.000529076    -0.000844251       0.0323561
        85           2.125       0.0518903        0.324383     0.000541115    -0.000860327       0.0327892
        86            2.15       0.0524596        0.326337     0.000543826    -0.000798831       0.0330835
        87           2.175       0.0528813         0.32675     0.000545582    -0.000780399       0.0328778
